Unnamed: 0	mean	norm_mean
Epithelial cells	1476.790978003408	0.25277117709616365
Astrocytes	1383.5725401022903	0.23681567992269922
Keratinocytes	1223.3909558358	0.20939860587007345
ly Endothelial cells	1141.3793161399378	0.19536129184914386
aDC	1128.7863243337374	0.19320584438946398
Endothelial cells	1104.4600569527256	0.1890421006154008
HSC	1058.4974375057227	0.18117502559050508
Chondrocytes	1039.0041064726302	0.1778384990920688
Sebocytes	991.8005279243367	0.16975901845430463
Megakaryocytes	968.2825422450686	0.16573362216490126
DC	963.1822190782834	0.16486063830351408
CD8+ Tcm	858.0359755072799	0.14686354856599731
Mesangial cells	843.8532787513183	0.1444360032960166
iDC	820.732278235201	0.14047855596382788
Melanocytes	817.6271651076842	0.13994707716151264
MEP	771.8081039985576	0.13210457393491978
Pericytes	769.5537384723197	0.13171871118510628
pDC	718.8684271989225	0.12304328860811888
cDC	703.8390261944729	0.12047081935584789
mv Endothelial cells	689.7221257445535	0.11805453594348587
Fibroblasts	684.5155082948118	0.11716335849111549
Tregs	668.3174740830483	0.11439086310393015
Th1 cells	660.3154960182585	0.11302122485135278
MSC	641.9686533299587	0.10988093411867945
Myocytes	639.629658177148	0.10948058595377023
Neurons	636.1444172448633	0.10888404354117479
Adipocytes	615.0861358202668	0.10527965628353185
Hepatocytes	612.7843743408586	0.10488568112576697
Th2 cells	608.2935497090551	0.10411702053315684
Neutrophils	596.3173924573871	0.10206715199340882
Smooth muscle	583.6516547460834	0.09989925316563707
B-cells	574.7064651445739	0.09836817250588191
Eosinophils	560.9716826801156	0.09601729334802396
naive B-cells	558.7469309815408	0.09563649937381122
Osteoblast	558.7025049698055	0.09562889530834273
Plasma cells	551.2786312457467	0.0943582068170163
Preadipocytes	544.9609459991025	0.0932768562670039
Class-switched memory B-cells	538.9696072001923	0.09225136397788528
Monocytes	531.4462411578468	0.09096364613658317
NKT	531.257212970971	0.09093129160705757
Erythrocytes	518.2274001994731	0.08870107679626087
NK cells	516.6636349532753	0.08843341888944058
Macrophages M2	512.3471832389253	0.08769460439438581
Skeletal muscle	509.7983056194331	0.08725833223011233
Macrophages M1	497.2730927866727	0.08511448598628085
CMP	488.03783592253814	0.08353375670021168
CD4+ memory T-cells	475.9845398639236	0.08147068489248459
CD4+ naive T-cells	474.37377175769893	0.08119498186050249
CD8+ T-cells	466.8833436355717	0.07991290175466104
GMP	451.4783423041116	0.07727614382634157
CD4+ T-cells	446.6171949534514	0.07644409788607891
Platelets	445.9835843773667	0.07633564754102462
CD4+ Tem	444.2607492088323	0.07604076283494261
MPP	444.004798683979	0.07599695371340191
Macrophages	431.75913862430076	0.07390095640998583
CD8+ Tem	430.28991699127675	0.07364948082059895
Mast cells	418.68210712958205	0.07166265952635195
Memory B-cells	418.06650379201005	0.07155729134454414
CLP	412.69428859196853	0.07063776977381765
pro B-cells	412.20808632726073	0.07055455019800255
CD4+ Tcm	396.50794269898324	0.06786727498803077
Basophils	360.8987089025987	0.06177231092319489
Tgd cells	347.6780090580537	0.059509423411342154
CD8+ naive T-cells	332.5351920878537	0.05691754160333968
